timestamp,solving_id,question_id,user_answer,elapsed_time,user_id,bundle_id,explanation_id,correct_answer,part,tags,deployed_at
2018-03-25 09:57:07.112,1,q8098,b,12000,u145242,b5569,e5569,b,1,5;2;182,2017-12-29 15:06:23.093
2018-03-25 09:57:35.061,2,q8074,d,25000,u145242,b5545,e5545,c,1,11;7;183,2018-05-18 08:57:02.552
2018-03-25 09:57:59.724,3,q176,b,22000,u145242,b176,e176,d,1,6;7;183,2017-12-29 14:53:43.800
2018-03-25 09:58:19.710,4,q1279,c,17000,u145242,b1279,e1279,c,2,24;26;182;184,2019-10-17 02:58:38.714
2018-03-25 09:59:03.593,5,q2067,a,13333,u145242,b1623,e1623,b,3,52;183;184,2019-03-12 02:28:10.338
2018-03-25 09:59:04.037,5,q2068,a,13333,u145242,b1623,e1623,a,3,55;183;184,2019-03-12 02:28:11.490
2018-03-25 09:59:04.326,5,q2069,d,13333,u145242,b1623,e1623,d,3,179;52;183;184,2019-03-12 02:28:12.671
2018-03-25 09:59:56.113,6,q3411,d,16333,u145242,b2071,e2071,c,4,64;53;184,2018-05-18 09:07:41.375
2018-03-25 09:59:56.664,6,q3412,a,16333,u145242,b2071,e2071,a,4,64;52;184,2018-05-18 09:07:45.638
2018-03-25 09:59:57.179,6,q3413,a,16333,u145242,b2071,e2071,d,4,64;52;184,2018-05-18 09:07:48.259
2018-03-25 10:00:32.738,7,q2991,d,10666,u145242,b1931,e1931,c,4,59;52;183,2017-12-29 17:07:42.642
2018-03-25 10:00:33.128,7,q2992,c,10666,u145242,b1931,e1931,a,4,59;53;183,2017-12-29 17:07:44.195
2018-03-25 10:00:33.456,7,q2993,c,10666,u145242,b1931,e1931,b,4,59;52;183,2017-12-29 17:07:45.774
2018-03-25 10:02:10.787,8,q2628,d,31000,u145242,b1810,e1810,c,4,64;52;185,2019-07-12 00:15:30.491
2018-03-25 10:02:11.355,8,q2629,d,31000,u145242,b1810,e1810,d,4,64;57;185,2019-07-12 00:15:31.848
2018-03-25 10:02:11.919,8,q2630,a,31000,u145242,b1810,e1810,b,4,64;54;185,2019-07-12 00:15:33.128
2018-03-25 10:02:34.267,9,q4555,d,20000,u145242,b3087,e3087,d,5,130,2019-08-09 07:52:44.343
2018-03-25 10:02:49.990,10,q4178,a,13000,u145242,b2710,e2710,b,5,75,2019-09-17 02:47:07.404
2018-03-25 10:03:11.994,11,q4761,d,19000,u145242,b3293,e3293,b,5,96,2019-06-24 09:03:05.822
2018-03-25 10:03:19.149,12,q6185,b,5000,u145242,b4717,e4717,c,5,145,2019-05-17 11:32:36.175
2018-03-25 10:03:41.064,13,q6243,d,19000,u145242,b4775,e4775,d,5,100,2018-02-20 04:08:27.759
2018-03-25 10:03:56.825,14,q6442,d,13000,u145242,b4974,e4974,d,5,71,2019-08-09 08:03:02.371
2018-03-25 10:05:24.633,15,q6949,c,21250,u145242,b5214,e5214,d,6,83,2018-04-07 16:43:56.564
2018-03-25 10:05:25.028,15,q6950,a,21250,u145242,b5214,e5214,a,6,115,2018-04-07 16:43:57.857
2018-03-25 10:05:25.387,15,q6951,c,21250,u145242,b5214,e5214,d,6,143,2018-04-07 16:43:59.220
2018-03-25 10:05:25.715,15,q6952,b,21250,u145242,b5214,e5214,b,6,85,2018-04-07 16:44:00.518
2018-03-25 10:07:20.347,16,q7335,d,28000,u145242,b5322,e5322,c,7,152;149;177,2018-04-11 05:28:58.336
2018-03-25 10:07:21.669,16,q7336,a,28000,u145242,b5322,e5322,d,7,152;153;177,2018-04-11 05:28:59.516
2018-03-25 10:07:22.425,16,q7337,d,28000,u145242,b5322,e5322,d,7,152;156;177,2018-04-11 05:29:00.592
2018-03-25 10:07:23.055,16,q7338,b,28000,u145242,b5322,e5322,d,7,152;169;177,2018-04-11 05:29:01.683
2018-03-25 10:08:46.083,17,q4661,b,4000,u145242,b3193,e3193,b,5,71,2019-10-30 05:33:00.854
2018-03-25 10:09:04.453,18,q6087,a,11000,u145242,b4619,e4619,a,5,87,2019-08-09 07:55:26.418
2018-03-25 10:09:15.576,19,q4632,c,4000,u145242,b3164,e3164,c,5,132,2019-10-30 05:31:53.981
2018-03-25 10:09:34.556,20,q9141,a,10000,u145242,b6492,e6492,a,5,77,2018-04-06 05:51:56.136
2018-03-25 10:09:51.505,21,q5049,c,7000,u145242,b3581,e3581,a,5,144,2019-10-17 03:05:34.911
2018-03-25 10:10:15.603,22,q5965,a,15000,u145242,b4497,e4497,b,5,80,2019-06-24 09:06:06.165
2018-03-25 10:10:27.443,23,q5959,b,4000,u145242,b4491,e4491,b,5,98,2019-06-24 09:05:56.237
2018-03-25 10:10:58.401,24,q6281,c,23000,u145242,b4813,e4813,c,5,74,2019-09-16 11:48:47.551
2018-03-25 10:11:14.798,25,q4190,c,6000,u145242,b2722,e2722,a,5,76,2019-06-24 09:23:48.789
2018-03-25 10:11:48.408,26,q3684,a,26000,u145242,b2216,e2216,d,5,123,2019-09-17 02:49:50.010
2018-03-25 17:32:20.038,27,q5393,d,20000,u145242,b3925,e3925,d,5,133,2019-10-17 02:17:38.111
2018-03-25 17:32:46.107,28,q6099,a,18000,u145242,b4631,e4631,a,5,120,2019-08-09 07:55:47.234
2018-03-25 17:33:19.727,29,q8668,b,24000,u145242,b6019,e6019,b,5,87,2018-02-20 05:59:29.893
2018-03-25 17:33:50.102,30,q4563,d,24000,u145242,b3095,e3095,a,5,129,2019-08-09 07:52:58.949
